departamento,distrito,establecimientos,tipousf,poblacion,familias,viviendas,indigenas,rural,ninguno,eduinicial,edusecundaria,eduterciaria,edunoaplica,ladrillo,madera,estaqueo,adobe,bloquedecemento,teja,paja,fibrocementooeternit,chapasdezinc,tierra,ladrillo2,baldosa,cemento,mosaico,electricidad,celular,heladera,tv,sedentarismo,obesidad,tabaquismo,alcoholismo,drogas,hipertension,diabetes,discapacidad,dis_mental,total_consultas,tesaireka,consejo_salud,sub_consejo_salud,devf1,devf2,devf3,devf4,assef1,healthf1,healthf2,consultas_capita,not_same_block
san pedro,YRYBUCUA,USF. SAN ISIDRO DEL NORTE I - ESTANDAR,USF,3525,825,825,0,1,0.20567375,0.50893617,0.12794326,0.028085107,0.1293617,0.27030304,0.51878786,0,0.21090908,0,0.26424241,0.590303,0,0.12121212,0.13575758,0.35030302,0.32969698,0.18303031,0,0.9066667,0.84606063,0.42545456,0.12242424,0.26836878,0.1387234,0.12737589,0.003404255,0,0.060141843,0.051631205,0.002553192,0.001702128,1473,0,0,1,0.011136499,3.8439155,-0.84026319,0.8800028,-3.1524918,0.082636476,0.48675641,0.41787234,0
caaguazu,REPATRIACION,USF- CULANDRILLO PINDO,USF,3054,653,653,852,1,0.047151279,0.35494435,0.34151933,0.029142108,0.2275704,0.3782542,0.575804,0.045941807,0,0,0.022970904,0.287902,0.34456354,0.34456354,0.30168453,0.08882083,0.067381315,0.5421133,0,0.84226644,0.75650841,0.74425727,0.74885148,0,0.037999999,0.048461035,0.015717093,0,0.093320236,0.020301245,0.003929273,0.001,6047,0,0,1,-0.073063269,-0.099448517,0.25997043,-0.12058846,-0.49529102,-0.099899158,-0.15442687,1.9800262,0
caaguazu,REPATRIACION,USF- IRRAZABAL (2DA LINEA),USF,3593,995,995,0,0.61925966,0.018647369,0.60506541,0.24297245,0.069579735,0.063735038,0.46834171,0.50653267,0.00201005,0.017085427,0.005025126,0.23015076,0.032160804,0.1798995,0.55075377,0.080402009,0.14974874,0.21105528,0.41005024,0.14874372,1,0.73869348,0.99497485,0.95477384,0.32203865,0.114,0.002504871,0.003,0,0.1071528,0.028110214,0.011411077,0.000834957,3391,0,0,1,0.65961152,-0.2278091,-0.3203958,-0.024235118,0.81094676,-0.55920154,0.62620074,0.94377959,0
caaguazu,REPATRIACION,USF- SAN MIGUEL TACURUPYTA,USF,2953,775,775,0,1,0.027768372,0.58042669,0.25601083,0.044361666,0.067050457,0.42064515,0.57419354,0.002580645,0,0,0.15096775,0.012903226,0.30967742,0.52645159,0.17032258,0.16645162,0.22967742,0.43354839,0,0.99483871,0.98451614,0.9251613,0.93032259,0.08732032,0.24600001,0.011513715,0.01015916,0.000677277,0.082627833,0.023366068,0.010836437,0.001693193,2740,0,0,0,0.42097247,-0.71080029,0.41614518,-0.2438134,0.75242406,-0.23789361,0.013833739,0.92786998,0
caaguazu,REPATRIACION,USF-TRIUNFO,USF,2906,677,677,48,1,0.16551961,0.6317963,0.17515485,0.025464555,0.001720578,0.23338257,0.68242246,0.00295421,0.005908419,0.048744462,0.18906942,0.19202363,0.25701624,0.36041358,0.26144755,0.1816839,0.13146234,0.36927623,0.048744462,0.98670608,0.89660263,0.82274741,0.83899558,0.126,0.035300002,0.010667584,0.003,0.001,0.064349622,0.017894013,0.014452856,0.002752925,4343,0,0,1,-0.65693295,0.32222828,0.076005287,0.26530296,0.11496681,-0.30341408,-0.19090669,1.4944942,0
caaguazu,SAN JOAQUIN,USF- JUAN S. BOGARIN,USF,4002,930,930,409,0.77661169,0.04547726,0.60719639,0.25112444,0.040729634,0.055472262,0.14439656,0.80387932,0.050646551,0,0.001077586,0.33333334,0.27526882,0.20967741,0.17741935,0.26559138,0.16666667,0.03763441,0.48279569,0.045161292,0.93440861,0.91290325,0.644086,0.75806451,0.63,0.12,0.011,0.010994502,0,0.083958022,0.014492754,0.012243878,0.001,3904,0,0,1,-0.68541843,0.5347659,0.70308071,1.1395754,-0.62235558,-0.74434048,0.068729237,0.97551227,0
canindeyu,VILLA YGATIMI,USF- KOE PORA,USF,3100,734,693,314,1,0.11,0.63,0.16,0.050000001,0.050000001,0.064032696,0.91280651,0.01907357,0.004087193,0,0.054495912,0.1866485,0.1907357,0.56811988,0.45640326,0.027247956,0.13896458,0.36784741,0.006811989,0.91008174,0.89645779,0.58991826,0.53678477,0.10870968,0.064193547,0.048709676,0,0,0.041612905,0.008387097,0.003870968,0.003225806,3245,1,0,1,-1.4912661,0.3571656,0.95774013,-1.1253911,-1.4336478,-0.29683253,-1.0741795,1.0467741,0
canindeyu,YASY CANY,USF- CRISTO REY,USF,3460,817,817,139,1,0.07,0.55000001,0.2,0.079999998,0.1,0.24235006,0.75642598,0.00122399,0,0,0.1493268,0.040391676,0.008567931,0.80171359,0.18237454,0.057527538,0.14198287,0.61811507,0,1,0.99755204,0.99755204,0.99510401,0.13208093,0.12052023,0.064450867,0,0.003179191,0.048554912,0.015028901,0.002601156,0.002601156,4959,1,0,1,-0.56452513,-0.059020661,-0.1643793,-1.4650911,1.1608371,0.26550996,-0.77858955,1.433237,0
concepcion,ARROYITO,USF. ASENT. NUCLEO 6 - ESTANDAR,USF,608,164,132,0,1,0.119,0.685,0.16599999,0.029999999,0,0.080592103,0.13651316,0,0,0,0.042763159,0,0,0.17434211,0.046052631,0,0.088815786,0.082236841,0,0.99000001,0.97000003,0.94999999,0.98000002,0.10197368,0.072368421,0.041118421,0,0,0.095394738,0.013157895,0.037828948,0,1905,1,0,1,-1.7302045,-1.1551776,-2.3141656,0.58017176,0.95539713,-0.87226462,0.58190012,3.1332238,0
concepcion,ARROYITO,USF. ASENTAMIENTO NUCLEO 3- ESTANDAR,USF,3259,844,696,35,1,0.015,0.68199998,0.163,0.043000001,0.1,0.13040809,0.083154343,0,0,0,0.065664314,0.003068426,0.025161093,0.11966861,0.035593741,0.004295796,0.095428042,0.066891685,0.011353176,0.99000001,0.97000003,0.94999999,0.98000002,0.049094815,0.00705738,0.003988954,0,0.001841056,0.060447991,0.018717399,0.001841056,0.006136852,6477,1,0,1,-1.5120918,-1.2324843,-2.3996475,0.87965721,0.95539713,0.11094722,-0.51453936,1.9874195,0
concepcion,ARROYITO,USF. CUERO FRESCO - ESTANDAR,USF,2962,711,685,0,0.89999998,0.013,0.67699999,0.13,0.045000002,0.13500001,0.13133018,0.098582037,0.001350439,0,0,0.13133018,0.098582037,0.001350439,0,0.052329507,0.029034436,0.025320729,0.001350439,0.092505068,1,0.97000003,0.97000003,0.98000002,0.11411209,0.064145848,0.029709656,0,0,0.16441594,0.020931803,0.001350439,0.003713707,2591,1,0,1,-1.6090652,-0.69353682,-2.4028063,1.3651729,1.0133214,-0.2810486,0.79406893,0.8747468,0
concepcion,HORQUETA,USF. ALFONSO CUE - ESTANDAR,USF,2012,471,471,0,1,0.015,0.56,0.16,0.16500001,0.1,0.51380044,0.477707,0.008492569,0,0,0.11252654,0.042462844,0.36093417,0.45859873,0.078556262,0.046709128,0.36093417,0.48195329,0.031847134,1,1,0.89048475,0.88110405,0.099403575,0.11481113,0.024850894,0,0.001988072,0.11232604,0.024353877,0.019880716,0.001988072,3217,1,0,1,1.0141531,-1.0369029,0.22185786,0.15379375,0.52312988,-0.21781565,0.72303528,1.5989065,0
san pedro,CAPIIBARY,USF. 3 DE NOVIEMBRE - ESTANDAR,USF,2024,557,557,0,0.87699997,0.079999998,0.61400002,0.22400001,0.0199,0.064400002,0.17594256,0.81867146,0.001795332,0,0.003590664,0.11490126,0.032315977,0.3016158,0.54937166,0.17773788,0.30341113,0.13464992,0.37881508,0.039497308,0.99281865,0.72351885,0.89048475,0.81867146,0.006916996,0.009387352,0.088932805,0,0,0.14920948,0.03013834,0.001482213,0.007905139,1670,1,0,1,-0.61018103,-0.16734397,0.99532664,-0.61710215,0.10140087,0.092481524,0.8823365,0.82509881,0
san pedro,GRAL. RESQUIN,USF. NARANJITO - ESTANDAR,USF,4916,1191,1191,685,0.66000003,0.034000002,0.67299998,0.153,0.046,0.092,0.45340049,0.29471034,0,0.14441645,0,0.34256926,0.11335012,0.1099916,0.42905122,0.3627204,0.37699413,0.079764903,0.18052056,0,1,0.84382874,0.84970611,0.83207387,0,0,0,0,0,0,0,0,0,6282,1,0,1,0.060975056,1.3348037,-0.98618394,0.2096592,0.12699549,-0.38929638,-2.0095828,1.2778682,0
san pedro,SAN PABLO,USF. SAN PABLO - ESTANDAR,USF,3032,729,729,0,0.55000001,0.02,0.50999999,0.28999999,0.07,0.11,0.55829906,0.44993141,0.016460905,0.008230452,0,0.0260631,0.13305898,0.17969821,0.69410151,0.50205761,0.20438957,0.11248285,0.21399178,0,1,0.88614541,0.85322362,0.92181069,0.04782322,0.14313984,0.24274406,0,0,0.11807388,0.03364116,0.004617414,0,979,1,0,1,0.26984501,0.19324622,0.36205497,-1.5908946,0.43366057,0.16935335,0.54730719,0.32288918,0
